Term,Abbreviation
global positioning system,GPS
globe stop valve,GSV
globe valve,GLV
glossary,GLOSS
glow plug,GLPG
glycerin,GLYCN
gold,GLD
governing,GOVG
government,GOV
government,GOVT
government test laboratory,GTL
government-furnished aircraft equipment,GFAE
government-furnished equipment,GFE
government-furnished material,GFM
government-furnished parts,GFP
government-furnished property,GFP
Government-Industry Data Exchange Program,GIDEP
government-loaned equipment,GLE
governor,GOV
governor torque,GOVTOR
grab rod,GR
grade,GR
grade ability,GRAB
grade line,GL
gradient,GRAD
graduation,GRDTN
grain,GR
gram,G
granite,GRAN
granodize,GRAN
granolithic base,GRB
granolithic finish floor,GFF
granulated,GNLTD
graph isomorphism tester,GIT
graphic,GRPH
graphic ammeter,GA
graphic demand meter,GD
graphic kilovolt-ampere meter,GVA
graphic varmeter,GRVA
graphite,GPH
grapple,GRPL
grater,GRTR
grating,GRTG
gravel,GVL
gravel-surface buildup roof,GSBR
gravity,G
gray,GRA
gray,GY
gray iron,GI
grease nozzle,GNOZ
grease trap,GT
greatest common divisor,GCD
green,GRN
green,G
green indicating lamp,GIL
green light,GL
Greenwich mean time,GMT
grid leak,GDLK
grid resistor,GR
grid return,GRTN
griddle,GRDL
grille,GRL
grind,GRD
grommet,GROM
groove,GRV
grooved,GRVD
groover,GRVR
grooving,GRVG
gross,GR
gross combined weight rating,GCWR
gross vehicle weight,GVW
gross weight,GRWT
ground,GND
ground control center,GCC
ground detector,GD
ground driven,GNDDRVN
ground glass,GGL
ground lamp,GRLP
ground mapping radar,GMR
ground operation equipment,GOE
ground speed,GS
ground support equipment,GSE
ground zero,GZ
ground-controlled approach,GCA
ground-controlled interception,GCI
grounded [outlet],G
ground-fault interrupter,GFI
ground-position indicator,GPI
ground-protective [relay],GP
ground-to-air,GA
ground-to-ground,GG
group,GP
grown diffused,GD
grown junction,GJ
guarantee,GUAR
guaranteed minimum value,GMV
guard,GD
guard rail,GDR
guidance,GDNC
guide,GDE
guide light,GLT
guided,GDE
guided aircraft missile,GAM
guided aircraft rocket,GAR
guided missile,GM
guided missile countermeasures,GMCM
guillotine,GLTN
gun carriage,GCRG
gun metal,GMET
gun motor carriage,GMC
gunnery,GUN
gunsight aiming point,GSAP
gusset,GUS
gutter,GUT
gymnasium,GYM
gypsum,GYP
gypsum sheathing board,GSB
gypsum wallboard,GWB
gypsum-plaster ceiling,GPC
gypsum-plaster wall,GPW
gyrocompass,GCMPS
gyroscope,GYRO
half breadth,HB
half dog point,1/2DP
half wave,HW
half-hard,1/2H
half-moon,HLFM
half-round,1/2RD
halftone,HT
half-track,HTRK
Halpern anti-radar paint,HARP
hammer,HMR
hand (comb form),HD
hand control,HNDCONT
hand crank,HC
hand form block,HFB
hand generator,HNDGEN
hand lantern,HL
hand rail,HNDRL
hand reset,HNDRST
handbook,HDBK
handhold,HH
handhole,HH
handicap,HDCP
handle,HDL
handling,HDLG
handling room,HR
handset,HNDST
handshake [computers],HDSHK
handwheel,HNDWL
hanger,HGR
hanging,HNG
harbor defense,HD
hard chromium,HDCR
hard disc,HD
hard-drawn,HDDRN
harden,HDN
harden and grind,HG
hardened voice channel,HVCH
hardened voice circuit,HVC
hardness,HDNS
hardness assurance,HA
hardness maintenance,HM
hardness surveillance,HS
hardness critical item,HCI
hardness critical process,HCP
hardover,HDOV
hardware,HDW
hardware cloth,HDWC
hardwood,HDWD
harmonic,HMNC
harmonic distortion,HD
harness,HARN
harness leather,HARNLTHR
harvester,HARVEST.
harvester head,HH
hatch,H
haversine,HAV
hazard beacon,HBCN
hazardous,HAZ
head (comb form),H
head and cover,H&C
head diameter,HD
head wind,HW
header,HDR
heading,HDG
headlamp,HDLMP
headless,HDLS
headlining,HLNG
headquarters,HQ
headset,HDST
heat emergency service tanks,HEST
heat exchange,HE
heat shield,HTSHLD
heat sink,HTSK
heated,HTD
heater,HTR
heating,HTG
heating cabinet,HC
"heating, venting, and air conditioning",HVAC
heat-resisting,HTRES
heat-treat,HTTR
heavy,HVY
heavy aircraft fuel,HAF
heavy barrel [rifle],HB
heavy end aviation fuel,HEAF
heavy equipment,HVYEQUIP
heavy machine gun,HMG
heavy-duty,HD
heel breaster,HLBR
heel line,HL
heel sanding,HLSD
heel to heel,HH
height,HGT
height by width by length,HXWXL
height finding,HTF
helical,HLCL
helical compression,HLCPS
helical extension,HLEXT
helicopter,HLCPTR
helipotentiometer,HPOT
helix angle,HLXA
helper,HLP
henry,H
hermetic sealed container,HSC
herringbone,HGBN
hertz,Hz
heterodyne,HET
hexachloroethane,HC
hexagon,HEX
hexagonal head,HEXHD
hexagonal socket,HEXSOC
hexagonal socket head,HEXSOCH
high altitude,HA
high capacity [projectile],HC
high carbon,HC
high explosive,HE
high fidelity,HIFI
high frequency,HF
high humidity,HIHUM
high impact,HIMP
high intensity,HINT
high intensity discharge,HID.
high noise-immunity logic,HNIL
high overlap,HOL
high pass,HP
high point,HPT
high potential,HIPOT
high potential test,HIPOTT
high pressure,HP
high speed,HS
high speed data link,HSDL
high temperature,HTM
high tensile,HTNSL
high tensile strength,HTS
high tension,HT
high voltage,HV
high-altitude platform,HAP
high-altitude terrain contour data sensor,HATCDS
high-carbon steel,HCS
"high-carbon steel, heat treated",HCSHT
high-explosive antiaircraft,HEAA
high-explosive antitank,HEAT
high-explosive armor piercing,HEAP
high-explosive discarding sabot,HEDS
high-explosive incendiary,HEI
high-explosive incendiary with tracer,HEIT
high-explosive plastic,HEP
high-explosive ramjet,HER]
high-explosive rocket assisted,HERA
high-explosive spotting,HES
high-explosive with tracer,HET
high-frequency current,HFCUR
high-frequency oscillator,HFO
high-grade plow steel,HGPS
high-level language [computers],HLL
highline,HL
high-pass filter,HPFL
high-power acquisition radar,HIPAR
high-pressure steam,HPS
high-pressure test,HPT
high-speed reader,HSR
high-speed steel,HSS
high-tensile cast iron,HTCI
high-tensile steel,HTS
high-threshold logic,HTL
"high-velocity, aircraft rocket",HVAR
"high-velocity, armor-piercing",HVAP
"high-velocity, target practice",HVTP
high-voltage regulator,HVR
high-water line,HWL
highway,HWY
hinge,HNG
hinge jaw,HJ
hinge line,HL
hinge pillar,HPLR
hinged plotting board,HPB
hinged seat,HS
hoist,HST
hold off generator,HOGEN
hold switch,HOLDSW
holddown,HLDN
holder,HLDR
holding,HLDG
holding coil,HC
holding fixture,HF
hole (p)-type semiconductor material,P
hollow,HOL
hollow metal,HM
hollow metal door and frame,HMDF
hollow tile,HT
homing,HOM
hone-finish monolithic floor,HFMF
honeycomb,HNYCMB
honorary,HON
hook rail,HR
hookup,HKP
hopper,HPR
horizon,HRZN
horizon scanner,HSC
horizon sensor,HS
horizontal,HORIZ
horizontal (comb form),H
horizontal center line,HCL
horizontal impulse,HZMP
horizontal impulse reaction,HIR
horizontal location of center of gravity,HCG
horizontal reaction,HZRN
horizontal reference line,HRL
horizontal shear,HS
horizontal tabulation,HT
horizontal volute spring suspension,HVSS
horn fiber,HNDFBR
horn gap switch,HGSW
horsepower,HP
horsepower-hour,HPHR
hose bib,HB
hose clamp,HC
hose connector,HCONN
hose rack,HR
hose thread,HSTH
hospital,HOSP
hot brine pump,HBPUMP
hot finished,HF
hot finished surface,HFS
"hot finished surface, scale free",HFSSF
hot leg,HLG
hot side,HSD
hot tin,HT
hot water,HW
"hot water, circulating",HWC
hot well,HWL
hot-galvanize,HGALV
hot-press,HP
hot-rolled,HR
hot-rolled steel,HRS
"hot-rolled, pickled, and oiled",HRPO
hot-water heater,HWH
hour,HR
house,HSE
household,HSHLD
housing,HSG
hovering,HVRNG
howitzer,HOW
howitzer motor carriage,HMC
howler,HW
humid,HMD
humidity,HMD
hunting,HNTG
hybrid,HYB
hybrid digital-analog and pulse time,HYDAPT
hybrid electromagnetic wave,HEMW
hybrid microelectronic assembly,HMA
hybrid microelectronic device,HYBMED
hydrated,HYDTD
hydraulic,HYDR
hydraulic clean,HC
hydraulic cylinder repair stand,HCS
hydraulic excavator,HEX
hydraulic oil,HO
hydraulic oil temperature,HOT.
hydrocyanic acid,HCN
hydroelectric,HYDRELC
hydro-form die,HFD
hydrogen-ion concentration,pH
hydro-mechanical governor,HMG
hydro-mechanical shutoff,HMSO
hydrometer,HYDM
hydrophone,HYPH
hydrostatic,HYDRST
hydrostatic drive system,HDS
hydrostatic power unit,HPU
hyperbola,HYPERB
hyperbolic secant,SECH
hyperbolic sine,SINH
hyperbolic tangent,TANH
hyperfine structure,HFS
hypergolic clean,HGC
"hypervelocity, armor-piercing",HVAP
"hypervelocity, armor-piercing discarding sabot",HVAPDS
"hypervelocity, target practice",HVTP
"hypervelocity, target practice,discarding sabot",HVTPDS
hypotenuse,HYP
hypothetical,HYPOTH
ice cuber,ICBR
ideal low-pass filter,ILPFL
identification,IDENT
identification beacon,IBCN
identification cross-reference drawing,ICRD
identification friend or foe,IFF
identification friend or foe switching,IFFS
identification light,IDLT
identification number,IDNO
identification of position,IP
identified foe,IDFO
identify,IDENT
idler,IDL
ignition,IGN
ignitor,IGNTR
ignitron,IGN
illuminate,ILLUM
illuminating [projectiles],SS
illustrate,ILLUS
illustrated parts breakdown,IPB
illustrated parts catalog,IPC
illustrated parts data,IPD
"image, storage translation, and reproduction",ISTAR
imaginary,IMAG
imitation,IMIT
immediate,IMMED
immersion,IMRS
impact,IMP
impedance,IMPD
impedor,IMPR
impeller,IMPLR
imperfect,IMPF
imperial,IMPRL
impingement,IGMT
implement,IMPL
impose,IMPS
impregnate,IMPRG
impression,IMPRSN
improved plow steel,IMPPS
improvement,IMPROV
impulse,IMPLS
impulse conductor,IC
in accordance with,IAW
in the place cited,LOCCIT
inboard,INBD
incandescent,INCAND
incendiary,INCND
incendiary bomb,IB
inch,IN
inch per second,IPS
inch-ounce,INOZ
inch-pound,INLB
incinerator,INCIN
inclined,INCLN
inclined ladder,IL
inclosure,INCLS
include,INCL
inclusive,INCL
incoherent,INCOH
incoming,INCM
incomplete,INCOMP
incomplete sequence [relay],IS
incorporated,INC
incorrect,INCOR
increase,INCR
increment,INCR
incubator,INCBR
indent,INDT
indentured data list,ID
indentured parts list,IPL
independent,1NDEP
indeterminate,INDET
index,IDX
index list,IL
indicate,IND
indicated airspeed,IAS
indicated horsepower,IHP
indicated horsepower-hour,IHPH
indicated mean effective pressure,IMEP
indicated parts data,IPD
indicating lamp,INDLP
indicator driver,ID
indicator-transmitter,INDTR
indirect waste,IW
indirectly,IDRTY
individually,1NDV
induced draft,ID
inductance,IND
inductance (comb symbol),L
inductance regulator,INDREG
inductance-capacitance,LC
inductance-capacitance-resistance,LCR
induction,IND
induction compass,ICMPS
inductor,IDCTR
inductosyn,ISYN
industrial,INDL
industrial service,IS
industry,IND
inert,INRT
inert filler,INRTFLR
inert gas,INRTG
inertial,INRTL
inertial demand servomotor,IDSM
inertial guidance,IG
inertial guidance system,IGS
inertial measurement unit,IMU
"inertialess scanning, tracking, and ranging",INSTAR
inference,INFRN
infinite,INF
infinity,INF
inflatable,IFL
inflating-deflating,IFLDFL
information,INFO
information retrieval center,IRC
information sort and predict,ISAP
infrared,IR
infrared acquisition radar,IRACQR
infrared countermeasures,IRCM
infrared maser,IRASER
infrared monochromatic radiation,IRMRA
ingot,IGT
inhibit,INHB
inhibit halt flip-flop,IHFF
initial,INIT
initial graphics exchange specification,IGES
initial velocity,IV
initiation,INIT
"inject,",INJ
injection,INJ
injector,INJ
inlet,INL
inlet and outlet,IO
inlet and outlet head,10H
inlet guide vane,IGV
inlet manhole,IMH
inlet valve actuator,IVA
inner,INR
inner back end,IBE
inner bottom,IB
inner front end,IFE
inner keel,IK
inoperative,INOP
inorganic,INORG
input,INP
input translator,INXLTR
input-output,IO
input-output buffer,IOB
input-output element,10E
input-output register,IOR
inquiry,INQ
inscription,INSC
insect screen,IS
insecticide,ICTCD
inseparable,INSEP
insert,1NSR
insert character,INSCHAR
insert screw thread,INST
inside,INS
inside diameter,ID
inside frosted,IF
inside layer,IL
inside mold line,IML
inside of metal,IM
inside radius,IR
inside trim template,ITT
insignia,ISGN
insoluble,INSOL
inspect,INSP
inspection check fixture,ICF
inspection check template,ICT
install,INSTL
installation,INSTL
installation and maintenance,IM
installer,INSTLR
instantaneous,INST
instantaneous automatic gain control,IAGC
instantaneous automatic volume control,IAVC
instantaneous overload,IOL
instantaneous relay,INSTRLY
institute,INST
instruct,INSTR
instruction book,IB
instruction card,IC
instruction folder,IF
instruction leaflet,IL
instruction plate,IP
instruction pulse,IP
instruction tag,IT
instrument,INSTR
instrument flight rules,IFR
instrument landing approach,ILA
instrument landing approach system,ILAS
instrument landing system,ILS
instrument panel,INSTPN
instrumentation,INSTM
insufficient,INSUF
insulate,INSUL
insulated-gate field-effect transistor,IGFET
insulating transformer,IT
insulation resistance,IR
insulation specification,ISPEC
insulation test specification,ITS
insure,INS
intake,INTK
integral,INT
integrated circuit,IC
integrated data processing,IDP
integrated injection logic,IIL
integrated passive-action detection and acquisition equipment,IPADAE
integrated time and absolute error,ITAE
integrating,INTEG
intelligence,INTEL
intensity,INTEN
intensive-care unit,ICU
intercept,INTCP
interceptor  [aircraft],F
interceptor missile,IM
interchangeability/ replaceability,I/R
interchangeable,INTCHG
interchangeable solid and screen panels,IP
interchanger,INTCHGR
intercommunication,INTERCOM
ntercommunication [short form],ICM
intercommunication drum,ICDRUM
intercommunication system,ICS
interconnection,INTCON
intercontinental ballistic missile,ICBM
intercooler,INCLR
intercylinder,INTCYL
interface,INTFC
interface control,INT
interface control drawing,ICD
interference,INTRF
intergovernmental,INTERGOVT
interim scroll fuel system,ISFS
interior,INTR
interior communication,IC
interior communication and fire control distribution,ICFCD
interlock,INTLK
intermediate,INTMD
intermediate distributing frame,IDF
intermediate frequency,IF
intermediate missile,IM
intermediate power amplifier,IPA
intermediate pressure,IP
intermediate voltage,IV
intermediate-range ballistic missile,IRBM
intermittent,INTMT
intermittent commercial and amateur service,ICAS
intermittent duty,IDTY
intermodulation distortion,IMD
internal,INTL
internal combustion,IC
internal combustion engine,ICE
internal connection,INTCON
internal diameter,ID
internal pipe thread,IPT
international,INTL
International Annealed Copper Standard,IACS
International Critical Tables,ICT
international direct distance dialing,IDDD
International Organization for Standardization,ISO
international pipe standard,IPS
international standard thread,1ST
International System of Units [metric],SI
interoffice memorandum,IOM
interphase transformer,INTPHTR
interphone,INTPH
interphone control station,ICS
interpolation,INTRPL
interpole,INTPO
interpost,IP
interpret,1NTPR
interpupillary,INTRPLRY
interrogate,INTRG
interrogator-responder,IR
interrogator-transponder,IT
interrupt,INTRPT
interrupt control register,INCR
interrupted continuous wave,ICW
interrupter [relay],INT
intersect,INTSCT
inter-ship,INTSHP
interstage,INTSTG
interval,INTVL
intervalometer,INTVLM
intricate,INTRC
intrinsic (i)-type semiconductor material,I
introduction,INTRO
invariant,INVAR
inventory,INVN
inventory schedule,IS
inverse,INVS
inverse cosecant,ARCCSE
inverse cosine,ARCCOS
inverse cotangent,ARCCOT
inverse secant,ARCSEC
inverse sine,ARCSIN
inverse tangent,ARCTAN
inverse time limit,ITL
inverse time relay,ITR
invert,INVT
inverter,INV
involute,INVLT
inward,INWD
ion chamber,IC
ionosphere,IONO
iron pipe,IP
iron pipe size,IPS
iron pipe thread,IPT
iron-body bronze-mounted,IBBM
iron-core reactor,ICR
ironing board,IB
irregular,IRREG
island,IS
isolate,ISOL
isolated-gate field-effect transistor,IGFET
isolation,ISLN
isolation ward,ISLNWD
isometric,ISO
isosceles,ISOS
issue,ISS
item identification,II
item reduction studies,IRS
item unique identification,IUID
jacket water,Jw
jackscrew,JKSCR
jamming,JAMG
janitor's closet,JC
January,JAN
japanned,JAP
jet propelled,JP
jet-assisted takeoff,JATO
jettison,JTSN
jig template,JT
job order,JO
joggle,JOG
joiner,
joiner pilaster fumetight,JPFT
joiner pilaster nontight,JPNT
joint,JT
Joint Army-Navy,JAN
Joint Army-Navy-Air Force,JANAF
joint bar,JTB
joint compound,JC
joints,NPSM
joists and planks,JP
journal,JNL
joystick,JSTICK
July,JUL
junction,JCT
junction box,JB
junction field-effect transistor,JFET
June,JUN
junior,JR
just not noticeable difference,JNND
just noticeable difference,JND
Kalamein door,KALD
Kalamein door and frame,KDF
Keene's cement plaster,KCP
Keene's cement plaster ceiling,KCPC
keeping,KPG
kelvin,K
kerosene,KRSN
key characteristic,KC
key locker,KL
key pulsing,KPLS
keyboard,KYBD
keypunch,KP
keyseat,KST
keyway,KWY
kick out,KOUT
kick plate,KPL
kick plate & drip,KPD
kickoff [relay],KO
kickpipe,KP
kiln-dried,KD
kilogram,kg
kilovolt-ampere hour,KVAH
kilovolt-ampere hour meter,KVAHM
kilovolt-ampere meter,KVAM
kilowatt-hour meter,KWHM
kinescope,KINE
kinetic energy,KE
knee brace,KB
knife blade,KNBL
knife switch,KNSW
knife-edge,KNED
knock down,KD
knockout,KO
Koroseal,KRAL
laboratory,LAB
labyrinth,LBYR
labyrinth pack,LBYRPK
lacquer,LAQ
ladder,LAD
ladder rung,LR
lagging,LAG
laminate,LAM
lamp holder,LPHLDR
lampblack,LMPBLK
landing,LDG
landing gear,LDGGR
landing observer signal system,LOSS
landing signal wand light,LSWLT
landmark,LDMK
lantern,LTRN
lanyard,LNYD
lapping,LPG
large,LGE
large artificial neuron network,LANNET
large tug,LT
large-scale hybrid integration,LSHI
large-scale integration,LSI
laser detection and ranging,LADAR
lashing,LSHG
last-in-first-out,LIFO
latch,LCH
latch checking switch,LCSW
lateral,LATL
latitude,LAT
lattice,LTC
launch,LANH
launch and control center,LCC
launcher,LCHR
launcher site,LS
laundry,LAU
laundry chute,LC
laundry tray,LT
lavatory,LAV
lawn faucet,LF
layer,LYR
layout,LYT
lead angle,LA
lead-coated metal,LCM
lead-covered,LC
leader,LDR
leading,LD
leading edge,LE
leading edge radius,LER
leakage,LKG
leakoff,LOFF
least common multiple,LCM
least material boundary,LMB
least material condition,LMC
leather,LTHR
leaves,LVS
left arithmetic element,LAE
left bank,LBK
left buttock line,LBL
left hand,LH
left male,LM
left side,LS
left-hand drive,LHDR
left-hand side,LHS
left-right indicator,LRI
length,LG
length between perpendiculars,LBP
length of chord,LC
length of curve,LCRV
length of lead [actual],LOL
length overall,LOA
lengthening,LNG
length-to-diameter ratio,LGD
lens board,LNBD
lens speed,LNSP
letter,LTR
letter box,LB
lettering,LTR
letterpress,LTRPRS
level,LVL
level detector,LDET
level discriminator,LDISCR
levelometer,LEVMETR
lever,LVR
lewisite,L
liaison [aircraft],L
liberty,LBRT
library,LBRY
license,LIC
life float,LF
life jacket,LJ
life preserver,LPSVR
lifeboat,LB
life-cycle survivability,LCS
lifeline,LFLN
lifesaving,LSVG
lifting,LFT
lifting eye,LE
lift-up door,LUD
light,LT
light amplification by stimulated emission of radiation,LASER
light case,LC
light distribution box,LDB
light lock,LL
light switch,LTSW
light tank,LTTK
light trap,LT
light-activated semiconductor controlled rectifier,LASCR
light-duty,LD
light-emitting diode,LED
lightening,LTG
lightening hole,LTGH
lighter-than-air,LTA
light-gun pulse generator,LGG
lighting,LTG
light-intensity detector,LTID
lightning arrester,LA
lightning hole,LGTH
laser detection and ranging,LOM
lightproof louver,LPL
lightproof shade,LPS
lightproof vent,LPV
lightweight concrete,LWC
lightweight insulating concrete,LWIC
lignum vitae,LGNMVTE
limber,LIM
limestone,LS
limit,LIM
limit switch,LIMSW
limited,LTD
limited-space-charge accumulation [microwaves diodes],LSA
limiter,LMTR
limiting,LMTG
line (comb form),L
line amplifier and super sync mixer,LASSM
line drawing,LD
line printer,LPTR
line receiving amplifier,LRA
line replaceable unit,LRU
lineal,LIN
linear,LIN
linear detonating card,LDC
linear integrated circuit,LIC
line-carrying,LC
line-drop compensator,LDC
line-of-sight,LOS
lining,LNG
linkage,LKGE
linoleum,LINOL
linoleum base,LB
linoleum floor,LF
lintel,LNTL
liquefied natural gas,LNG
liquefied petroleum,LP
liquefied petroleum gas,LPG
liquefied petroleum safety,LPS
liquid,LIQ
liquid additive system,LAS
liquid fuel,LIQFL
liquid in glass,LQGLS
liquid oxygen,LOX
liquid petroleum gas,LPG
liquid rocket,LR
liquid-crystal display,LCD
liquidometer,LQMETR
liquid-rocket engine,LRE
liquor,LQR
list of material,LM
list of specifications and standards,LSST
liter,L
literature,LIT
literature pack,LITPK
lithograph,LITHO
litter,LIT
litter hook,LH
live load,LL
lizard,LIZ
load carrier,LC
load center,LC
load control valve,LCV
load factor [tabular],LF
load list,LL
load ratio,LR
load shifting resistor,LSR
load waterline,LWL
"load, update, subset",LUS
load-compensating [relay],LC
loader,LDR
load-indicating relay,LIRLY
loading,LDR
loading and packaging,LAP.
load-limiting resistor,LLRES
load-ratio control,LRC
load-resistor [relay],LR
local,LCL
local apparent time,LAPT
local area network,LAN
local automatic message accounting,LAMA
local oscillator,LO
local sidereal time,LSDT
local standard time,LST
localizer,LOC
locate,LCT
lock pillar,LPLR
lock screw,LKSCR
lock washer,LKWASH
locked,LKD
locked closed,LKDC
locked in device,LID
locked open,LKDO
locked rotor,LKROT
locked-rotor amperes,LRA
locker,LKR
locking,LKG
locknut,LKNT
locknut pipe thread,NPSL
lock-on,LO
lockout,LKO
locksmith,LSMITH
lockup,LKUP
lock-up clutch,LKUCL
lockwire,LKWR
locomotive,LOCO
locus of radius,LR
locust,LCT
loft line,LL
log skidder,LGSK
logarithm,LOG
logarithm [natural],LN
logarithmic amplifier,LOAMP
logging special,LS
logic,LGC
logic unit,LU
long baseline radar,LOBAR
long side,LSD
long taper,LTPR
long undercarriage,LC
long wheelbase,LWB
longeron,LONGN
longitude,LONG
longitudinal,LONG
longitudinal expansion joint,LEJ
longitudinal position of center of buoyancy,LCB
longitudinal position of center of flotation,LCF
longitudinal position of center of gravity,LCG
longleaf yellow pine,LLYP
long-range navigation,LORAN
long-range radar input,LRI
looking,LKG
lookout,LKT
loop-control [relay],LPC
looper,LPR
loss of signal,LOS
lot fraction reliability definition,LFRD
lot tolerance percent defective,LTPD
loudspeaker,LS
louver,LVR
louver opening,LVO
louvered door,LVD
low accumulator pressure,LOACCUMPR
low carbon,LC
low coolant,LCOLNT
low emissions,LE
low explosive,LE
low frequency,LF
low level,LL
low overlap,LOL
low pass,LP
low point,LP
low power output,LPO
low pressure,LP
low speed,LSP
low steam,LSTM
low temperature,LTEMPT
low tension,LT
low torque,LTQ
low voltage,LV
low-alloy steel,LAS
low-altitude bombing,LAB
lower,LWR
lower control limit,LCL
lower deck,LDK
lower sideband,LSB
lowercase,LC
lowest,LWST
lowest usable frequency,LUF
lowest usable high frequency,LUHF
low-frequency acquisition and ranging,LOFAR
low-frequency oscillator,LFO
low-frequency outer marker,LFOM
low-level logic,LLL
low-pass filter,LPFL
low-power acquisition radar,LOPAR
low-powered fan marker,LPFM
low-resolution infrared radiometer,LRIRR
low-voltage protection,LVP
low-voltage release,LVRLSE
low-voltage release effect,LVRE
low-water line,LWL
lox clean,LC
lubricant,LUST
lubricate,LUB
lubricating oil,LUBO
lubricating oil pump,LOP
lubrication order,LO
lumber,LBR
lumen per watt,LPW
luminous,LUM
lunar excursion module,LEM
lunar orbit-rendezvous,LOR
lunette,LUN
machine,MACH
machine gun,MG
machine rifle,MR
machine screw,MSCR
machine shipping order,MSO
machine steel,MST
machined surface,MASU
machinery,MCHRY
machinist,MCHST
magazine,MAG
magazine flooding and sprinkling,MFS
magnaflux,M
magnesium,MAG
magnesium-thorium,MAGTHOR
magnet,MAG
magnetic,MAG
magnetic amplifier,MAGAMP
magnetic armature,MG
magnetic core memory,MCM
magnetic ink character recognition,MICR
magnetic mine sweeping,MMS
magnetic modulator,MAGMOD
magnetic particle inspection,MPI
magnetic tape,MT
magnetic-ink character recognition,MICR
magneto,MGN
magnetohydrodynamic,MHD
magnetometer,MGTMTR
magnetomotive force,MMF
magnetostriction,MS
magnetron,MAGN
magnify,MGF
magnitude,MAGTD
mahogany,MAH
mail chute,MCH
mail tray,MT
mailbox,MB
main ballast tank,MBT
main bang suppressor,MBS
main battery [guns],MB
main battle tank,MBT
main control tank,MCT
main coolant,MC
main distributing frame,MDF
main feed,MF
main frame,MNFRM
main landing gear,MLG
maintenance,MAINT
maintenance and repair,MR
maintenance and supply,MS
maintenance engineering analysis record,MEAR
maintenance ground equipment,MGE
maintenance of close contact,MCC
maintenance of true bearing,MTB
maintenance parts kit,MPK
maintenance parts list,MPL
maintenance support equipment,MSE
major,MAJ
makeup,MKUP
makeup feed,MUFD
male and female,MF
male flared,MFLRD
male pipe thread,MPT
male threaded,MTHRD
malfunction,MALF
malleable,MAL
malleable iron,MI
man overboard and breakdown light,MOBLT
management,MGT
manager,MGR
managing,MNG
mandrel,MDRL
maneuvering,MANUV
manhole,MH
manhole cover,MC
manifold,MANF
Manila [rope],M
manual,MNL
manual change order,MCO
manual change request,MCR
manual data input function,MDIF
manual gain control,MGC
manual overload,MANOVLD
manual volume control,MVC
manually operated,MNLOPR
manufacture,MFR
manufactured,MFD
manufacturing,MFG
manufacturing information,MFGINFO
manufacturing instruction,MI
manuscript,MS
marble,MR
marble base,MRB
marble floor,MRF
marble threshold,MRT
March,MAR
margin,MARG
marginal [relay],MGL
marine,MAR
marine-finish slate,MFS
mark sensing,MS
marked,MKD
marker,MKR
markings,MKGS
masking,MASK
mason operated,MO
masonite hydropress die,MHPD
masonry,MSNRY
mast hull loop,MHL
master,MA
master change record,MCR
master cross-reference list,MCRL
master data record,MDR
master layout duplicate,MLD
master layout original,MLO
master lines layout,MLL
master makeup and display,MMD
master oscillator,MO
master oscillator power amplifier,MOPA
master sensitized material print,MSMP
master switch,MSW
master synchronizer,MSYNC
masthead,MHD
masthead light,MHDLT
mastic,MSTC
mastic floor,MF
mastic joint,MJ
matched,MTCHD
material,MATL
material handling,MH
material list,ML
material test specification,MTS
mathematical,MATH
mathematics,MATH
matrix,MAT
matrix output amplifier,MOA
matt-finish structural facing units,MFSFU
mattress,MTRS
maximum,MAX
maximum available power gain,MAPG
maximum capacity,MAXCAP
maximum design meter,MDM
maximum flight,MAXFLT
maximum fork height,MFH
maximum material boundary,MMB
maximum material condition,MMC
maximum permissible exposure,MPE
maximum torque,MT
maximum usable frequency,MUF
maximum working pressure,MWP
maximum working voltage,MWV
mean aerodynamic chord,MAC
mean effective pressure,MEP
mean flight hours between failure,MFHBF
mean high tide,MHT
mean high water,MHW
mean higher high water,MHHW
mean low tide,MLT
mean low water,MLW
mean lower low water,MLLW
mean sea level,MSL
mean tide,MT
mean time,MT
mean time between failures,MTBF
mean time to failure,MTTF
mean time to first failure,MTTFF
mean time to repair,MTTR
mean up time,MUT
mean variation,MV
mean width ratio,MWR
measure,MEAS
mechanical,MECH
mechanical buffer register,MBR
mechanical time fuze,MTF
"mechanical time, superquick",MTSQ
mechanical unit injector,MUI
mechanically cooled,MCHCL
mechanically refrigerated,MCHRF
mechanism,MECH
mechanize,MECZ
median,MDN
medical,MED
medicine cabinet,MC
medium,MDM
medium frequency,MF
medium high frequency,MHF
medium pressure,MP
medium-range ballistic missile,MRBM
megabyte,MEG
melamine,MEL
melting point,MP
member,MBR
membrane,MEMB
membrane waterproofing,MWP
memorandum,MEMO
memory,MEM
memory allocation and protection unit,MAPU
memory point,MEMPT
memory test computer,MTC
merchandise,MDSE
merchantable,MERCH
mercurial,MRCL
mercury arc,MA
meridian,MER
meshing,MSHG
message,MSG
message generator,MSGG
messenger,MESS
metacenter,M
metacentric height,GM
metal,MET
metal anchor,MA
metal anchor slots,MAS
metal awning-type window,MATW
metal base,METB
metal casement window,MCW
metal casting pattern,MCP
metal corner bead,MCB
metal curb,METC
metal door,METD
metal flashing,METF
metal gravel stop,MGS
metal grille,METG
metal jalousie,METJ
metal lath and plaster,MLP
metal mold,METM
metal mount,MMT
metal partition,METP
metal portion,METP
metal rolling door,MRD
metal roof,METR
metal slitting,MLS
